epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.951,1.34152,2.0854,1.22573,0.37976,0.27878,0.25156,0.16333,1.29877,2.55278,1.20688,0.0673587,0.00032971,0.00032971
2,477.603,1.31184,1.59093,1.20135,0.60183,0.29488,0.33881,0.21519,1.28147,1.60183,1.1766,0.0343478,0.000652103,0.000652103
3,857.863,1.33613,1.51962,1.21024,0.46072,0.32922,0.31372,0.1961,1.27392,1.8193,1.19783,0.00132582,0.000963496,0.000963496
4,1187.88,1.30425,1.41533,1.19701,0.65101,0.36023,0.39095,0.24653,1.25393,1.38559,1.18213,0.0009505,0.0009505,0.0009505
5,1382.02,1.28751,1.38431,1.18927,0.65881,0.33916,0.38632,0.26141,1.13157,1.32156,1.1278,0.000934,0.000934,0.000934
6,1753.47,1.24926,1.30314,1.17141,0.69489,0.38839,0.4299,0.29085,1.13725,1.14932,1.10226,0.0009175,0.0009175,0.0009175
7,1952.06,1.24036,1.26914,1.16213,0.67941,0.41484,0.44836,0.30032,1.10661,1.10284,1.12354,0.000901,0.000901,0.000901
8,2283.63,1.22104,1.19147,1.15158,0.76165,0.388,0.45181,0.30797,1.09779,1.11457,1.09637,0.0008845,0.0008845,0.0008845
9,2527.3,1.16748,1.15998,1.12145,0.70062,0.40548,0.45694,0.32245,1.01356,1.02989,1.05508,0.000868,0.000868,0.000868
10,2805.64,1.14928,1.1272,1.12729,0.71135,0.41224,0.46016,0.31501,1.06458,1.00724,1.07198,0.0008515,0.0008515,0.0008515
11,3006.91,1.16344,1.10983,1.11768,0.76344,0.41109,0.46764,0.32461,1.02038,1.0093,1.07255,0.000835,0.000835,0.000835
12,3205.62,1.12569,1.04497,1.10933,0.75978,0.42537,0.47977,0.34288,0.98477,0.959,1.03964,0.0008185,0.0008185,0.0008185
13,3406.01,1.10575,1.03418,1.09998,0.75612,0.41618,0.4784,0.33886,1.0349,0.98584,1.05294,0.000802,0.000802,0.000802
