epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.123,0.86969,0.73763,0.99235,0.78458,0.48774,0.5357,0.38826,0.84774,0.72605,0.994,0.0673587,0.00032971,0.00032971
2,469.867,0.89886,0.75836,0.99642,0.8513,0.48401,0.54956,0.40567,0.82204,0.70968,0.97324,0.0343259,0.000630223,0.000630223
3,680.853,0.93722,0.8175,1.00444,0.83089,0.46455,0.54088,0.3947,0.83922,0.74149,0.98698,0.00126005,0.000897736,0.000897736
4,902.271,0.93667,0.84767,1.01215,0.85042,0.47205,0.54457,0.39375,0.86166,0.75778,0.99577,0.0008515,0.0008515,0.0008515
5,1123.68,0.92768,0.81103,1.00068,0.82254,0.49065,0.55282,0.39733,0.86984,0.73728,1.00894,0.000802,0.000802,0.000802
6,1339.57,0.93361,0.79552,1.00942,0.8435,0.48733,0.55721,0.40717,0.83538,0.70301,0.97636,0.0007525,0.0007525,0.0007525
7,1564.86,0.90291,0.78849,0.99935,0.76917,0.4905,0.53895,0.39312,0.84321,0.74408,0.99903,0.000703,0.000703,0.000703
8,1786.66,0.91107,0.78923,1.00007,0.85692,0.49281,0.56488,0.41905,0.81149,0.68623,0.98053,0.0006535,0.0006535,0.0006535
9,1991.74,0.90045,0.74439,0.99566,0.84787,0.5032,0.56822,0.42309,0.8174,0.68303,0.98123,0.000604,0.000604,0.000604
10,2187.59,0.87857,0.73745,0.99371,0.87229,0.49307,0.56092,0.41905,0.79497,0.67133,0.97499,0.0005545,0.0005545,0.0005545
11,2531.6,0.75178,0.60062,0.93889,0.84091,0.49199,0.56497,0.42534,0.79466,0.66932,0.96465,0.000505,0.000505,0.000505
12,2920.36,0.74172,0.56123,0.92785,0.8702,0.4978,0.5745,0.42627,0.7867,0.63233,0.95827,0.0004555,0.0004555,0.0004555
13,3101.02,0.7105,0.53029,0.91651,0.82588,0.52277,0.58131,0.4343,0.77487,0.61733,0.95826,0.000406,0.000406,0.000406
14,3289.32,0.70433,0.52157,0.90724,0.84637,0.50562,0.57742,0.4405,0.75616,0.62376,0.95659,0.0003565,0.0003565,0.0003565
15,3475.8,0.68473,0.51704,0.90842,0.87377,0.50722,0.58189,0.44022,0.74759,0.60158,0.94903,0.000307,0.000307,0.000307
16,3670.85,0.67565,0.48907,0.90522,0.88428,0.50223,0.58858,0.45056,0.73418,0.58786,0.94837,0.0002575,0.0002575,0.0002575
17,3863.75,0.65656,0.47433,0.89403,0.89692,0.50716,0.58987,0.45207,0.72085,0.57453,0.93858,0.000208,0.000208,0.000208
18,4052.45,0.6505,0.45721,0.89547,0.89171,0.50728,0.59403,0.45819,0.71228,0.56067,0.93563,0.0001585,0.0001585,0.0001585
19,4243.33,0.63671,0.45226,0.89003,0.86309,0.53439,0.60189,0.46287,0.69416,0.55383,0.93237,0.000109,0.000109,0.000109
20,4439.78,0.61479,0.43252,0.88091,0.84416,0.53705,0.60138,0.4656,0.68985,0.54908,0.92968,5.95e-05,5.95e-05,5.95e-05
